abdomen 腹部；下腹；腹腔
able 能； 有能力的；能干的
abnormal 反常的，不规则的；变态的
about 关于；大约
above 超过；在……上面；在……之上
absent 缺席的；缺少的；心不在焉的；茫然的
accent 口音；重音；强调；特点；重音符号
access 进入；使用权；通路
accessory 配件；附件； 从犯
accommodations 住房，住宿；膳宿；居住设施（accommodation的复数）
accord 符合；一致；协议；自愿
accordance 一致；和谐
according to 根据；按照；据（…所说）；按（…所报道）
accountant 会计师；会计人员
accustom 使习惯于
ache 疼痛
achieve 取得；获得；实现；成功
acid 酸；<俚>迷幻药
acquaint 使熟悉；使认识
across 穿过；横穿
act 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
action 行动；活动；功能；战斗；情节
active 主动语态；积极分子
actor 男演员；行动者；作用物
actress 女演员
add 加法，加法运算
addict 有瘾的人；入迷的人
additional 附加的，额外的
adjacent 邻近的，毗连的
adore 崇拜；爱慕；喜爱；极喜欢
adult 成年人
advent 到来；出现；基督降临；基督降临节
adventure 冒险；冒险精神；投机活动
adverb 副词
adverse 不利的；相反的；敌对的（名词adverseness，副词adversely）
advice 建议；忠告；劝告；通知
advise 建议；劝告，忠告；通知；警告
aerial 天线
aeroplane 飞机（等于airplane）
aesthetic 美的；美学的；审美的，具有审美趣味的
affection 喜爱，感情；影响；感染
affiliate 联号；隶属的机构等
affluent 支流；富人
after 在……之后
aftermath 后果；余波
afternoon 午后，下午
afterward 以后，后来
again 又，此外；再一次；再说；增加
against 反对，违反；靠；倚；防备
age 年龄；时代；寿命，使用年限；阶段
aggregate 合计；集合体；总计
agitate 摇动；骚动；使…激动
ago 以前的；过去的
agree 同意，意见一致；约定，商定
aid 援助；帮助；助手；帮助者
aim 目的；目标；对准
air 空气，大气；天空；样子；曲调
air conditioning 空气调节系统
airplane 飞机
airport 机场；航空站
aisle 通道，走道；侧廊
albeit 虽然；即使
album 相簿；唱片集；集邮簿；签名纪念册
alienate 使疏远，离间；让与
all 全部
allege 宣称，断言；提出…作为理由
allegiance 效忠，忠诚；忠贞
alleviate 减轻，缓和
allocate 分配；拨出；使坐落于
allow 容许；考虑
alloy 合金
ally 同盟国；伙伴；同盟者；助手
almost 差不多，几乎
alone 独自的；单独的；孤独的
along 沿着；顺着
aloud 大声地；出声地
already 已经，早已；先前
also 并且；另外
alternate 替换物
although 尽管；虽然；但是；然而
aluminium 铝
always 永远，一直；总是；常常
amaze 使吃惊
ambassador 大使；代表；使节
ambulance 救护车；战时流动医院
amend 修改；改善，改进
amiable 和蔼可亲的，亲切的
amidst 在…当中
among 在…中间；在…之中
amongst 在…之中；在…当中（等于among）
ample 丰富的；足够的；宽敞的
amplify 放大，扩大；增强；详述
amuse 娱乐；消遣；使发笑；使愉快
an 一（在元音音素前）
analog 模拟；类似物
analogue 类似物；类似情况；对等的人
analytic 分析的；解析的；善于分析的
analytical 分析的；解析的；善于分析的
analyze 对…进行分析，分解（等于analyse）
and 和，与；就；而且；但是；然后
angel 天使；守护神；善人
anger 怒，愤怒；忿怒
angry 生气的；愤怒的；狂暴的；（伤口等）发炎的
anguish 痛苦；苦恼
animal 动物
ankle 踝关节，踝
anniversary 周年纪念日
another 另一个；另一个人
answer 回答；答案；答辩
ant 蚂蚁
antenna 天线； 触角， 触须
antique 古董，古玩；古风，古希腊和古罗马艺术风格
any 任何的；所有的；丝毫
anybody 重要人物
anyhow 总之；无论如何；不管怎样
anyone 任何人；任何一个
anything 任何事
anyway 无论如何，不管怎样；总之
anywhere 任何地方
apart 分离的；与众不同的
ape 猿；傻瓜；模仿者
apologise 道歉（等于apologize）
appal 使惊骇；惊吓
appall 使胆寒；使惊骇
appear 出现；显得；似乎；出庭；登场
applaud 赞同；称赞；向…喝彩
applause 欢呼，喝采；鼓掌欢迎
apple 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
applicable 可适用的；可应用的；合适的
appraisal 评价；估价（尤指估价财产，以便征税）；估计
approximate 近似的；大概的
april 四月
apt 恰当的；有…倾向的；灵敏的
arch 弓形，拱形；拱门
archaeology 考古学
archeology 考古学（等于archaeology）
archive 档案馆；档案文件
area 区域，地区；面积；范围
arena 舞台；竞技场
argue 争论，辩论；提出理由
arithmetic 算术，算法
arm 手臂；武器；袖子；装备；部门
army 陆军，军队
around 四处；在…周围
arrival 到来；到达；到达者
arrive 到达；成功；达成；出生
arrogant 自大的，傲慢的
arrow 箭，箭头；箭状物；箭头记号
art 艺术；美术；艺术品
artery 动脉；干道；主流
article 文章；物品；条款； 冠词
articulate 发音清晰的；口才好的；有关节的
artifact 人工制品；手工艺品
artist 艺术家；美术家（尤指画家）；大师
as 因为；随着；虽然；依照；当…时
ascend 上升；登高；追溯
ascertain 确定；查明；探知
ascribe 归因于；归咎于
ash 灰；灰烬
ashamed 惭愧的，感到难为情的；耻于……的
ashore 在岸上的；在陆上的
ask 问，询问；要求；需要；邀请；讨价
asleep 睡着的；麻木的；长眠的
aspire 渴望；立志；追求
assassinate 暗杀；行刺
assurance 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
astonish 使惊讶
astronaut 宇航员，航天员；太空旅行者
at 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
athlete 运动员，体育家；身强力壮的人
atom 原子
attendant 服务员，侍者；随员，陪从
attention 注意力；关心；立正！（口令）
attitude 态度；看法；意见；姿势
attract 吸引；引起
audience 观众；听众；读者；接见；正式会见；拜会
audio 声音的； 音频的， 声频的
audit 审计； 查账
auditorium 礼堂，会堂；观众席
august 
aunt 阿姨；姑妈；伯母；舅妈
aural 听觉的；耳的；气味的；先兆的
author 作者；作家；创始人
auto 汽车（等于automobile）；自动
autonomy 自治，自治权
autumn 秋天；成熟期；渐衰期，凋落期
auxiliary 助动词；辅助者，辅助物；附属机构
avail 有益于，有益于；使对某人有利。
average 平均；平均数；海损
avert 避免，防止；转移
aviation 航空；飞行术；飞机制造业
avoid 避免；避开，躲避；消除
awake 醒着的
away 离去，离开；在远处
awe 敬畏
awful 可怕的；极坏的；使人敬畏的
ax 斧头
axe 斧
axis 轴；轴线；轴心国
baby 婴儿，婴孩；孩子气的人
back 后面；背部；靠背；足球等的后卫；书报等的末尾
bacon 咸肉；腌肉；熏猪肉
bacterium 细菌；杆菌属
bad 坏事；坏人
badge 徽章；证章；标记
badly 非常，很；严重地，厉害地；恶劣地
badminton 羽毛球
bag 袋；猎获物；（俚）一瓶啤酒
baggage 行李； 辎重（军队的）
bail 保释，保释人；保释金；杓
bait 饵；诱饵
bake 烤；烘烤食品
balance 平衡；余额；匀称
balcony 阳台；包厢；戏院楼厅
bald 秃顶的；光秃的；单调的；无装饰的
ball 球；舞会
ballet 芭蕾舞剧；芭蕾舞乐曲
balloon 气球
ballot 投票；投票用纸；投票总数
ban 禁令，禁忌
banana 香蕉；喜剧演员；大鹰钩鼻
band 带，环； 波段； 乐队
bandage 绷带
bang 刘海；重击；突然巨响
bank 银行；岸；浅滩；储库
bankrupt 破产者
banner 横幅图片的广告模式
banquet 宴会，盛宴；宴请，款待
bar 条，棒；酒吧；障碍；法庭
barbecue 烤肉；吃烤肉的野宴
barber 理发师
bark 树皮；深青棕色；毛皮；皮肤；狗叫
barren 荒地
barrier 障碍物，屏障；界线
base 基础；底部；垒
baseball 棒球；棒球运动
basement 地下室；地窖
basic 基础；要素
basin 水池；流域；盆地；盆
basis 基础；底部；主要成分；基本原则或原理
basket 篮子；（篮球比赛的）得分；一篮之量；篮筐
basketball 篮球；篮球运动
bat 蝙蝠；球棒；球拍；批处理文件的扩展名
batch 一批；一炉；一次所制之量
bath 沐浴；浴室；浴盆
bathe 洗澡；游泳
bathroom 浴室；厕所；盥洗室
be 是； 有，存在； 做，成为； 发生
beach 海滩；湖滨
bean 豆；嘴峰；毫无价值的东西
bearing 轴承；关系；方位；举止
beast 野兽；畜生，人面兽心的人
beat 拍子；敲击；有规律的一连串敲打
beautiful 美丽的
beauty 美；美丽；美人；美好的东西
because 因为
become 适合；相称
bed 床；基础；河底， 海底
bee 蜜蜂，蜂；勤劳的人
beef 牛肉；肌肉；食用牛；牢骚
beer 啤酒
before 在…之前，先于
beg 乞讨；请求
begin 开始；首先
beginning 开始；起点
behavior 行为，举止；态度；反应
behaviour 行为；习性；运行状况（=behavior）
behind 落后于；支持；晚于
being 存在；生命；本质；品格
belief 相信，信赖；信仰；教义
believe 信任；料想；笃信宗教
